City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,bambari,5.768,20.6757,297.29,64,97,1.1,CF
97,avarua,-21.2078,-159.775,297.18,88,20,2.57,CK
98,albany,42.6001,-73.9662,276.65,61,98,0.45,US
99,karnobat,42.65,26.9833,280.06,91,100,0.59,BG
100,puerto ayora,-0.7393,-90.3518,294.01,93,24,2.24,EC
101,wajima,37.4,136.9,281.35,82,93,7.35,JP
102,aasiaat,68.7098,-52.8699,269.94,74,36,4.93,GL
103,ariquemes,-9.9133,-63.0408,295.13,99,100,0.69,BR
104,castro,-24.7911,-50.0119,291.01,95,84,0.91,BR
105,buala,-8.145,159.5921,302.29,71,92,2.07,SB
106,cape town,-33.9258,18.4232,289.77,75,0,3.13,ZA
107,barra patuca,15.8,-84.2833,298.3,70,12,3.44,HN
108,marienburg,54.0359,19.0266,276.95,89,100,2.13,PL
109,benguela,-12.5763,13.4055,298.23,81,100,1.55,AO
110,vaini,-21.2,-175.2,299.12,81,79,8.87,TO
111,gashua,12.871,11.0482,292.74,23,39,4.96,NG
112,saint-philippe,-21.3585,55.7679,298.92,81,98,4.83,RE
113,bandarbeyla,9.4942,50.8122,297.98,70,44,8.01,SO
114,nikolskoye,59.7035,30.7861,266.09,88,100,3.97,RU
115,constitucion,-35.3333,-72.4167,286.76,71,0,4.04,CL
116,seoul,37.5683,126.9778,276.84,82,84,1.68,KR
117,sao felix do xingu,-6.6447,-51.995,294.34,99,100,0.47,BR
118,pangody,65.85,74.4859,255.77,98,34,3.62,RU
119,mayo,38.8876,-76.5119,278.22,93,20,1.54,US
120,sao joao da boa vista,-21.9692,-46.7981,292.06,94,100,2.71,BR
121,kahului,20.8947,-156.47,298.62,82,93,0.89,US
122,pitimbu,-7.4706,-34.8086,298.48,79,6,5.07,BR
123,khasan,42.4308,130.6434,272.01,33,1,5.63,RU
124,benjamin constant,-4.3831,-70.0311,297.22,94,92,0.73,BR
125,mareeba,-17.0,145.4333,308.39,31,0,3.45,AU
126,upernavik,72.7868,-56.1549,270.57,63,80,3.04,GL
127,olinda,-8.0089,-34.8553,300.0,69,75,3.09,BR
128,lincoln,40.8,-96.667,273.31,66,100,6.69,US
129,road town,18.4167,-64.6167,299.2,63,31,8.35,VG
130,belyy yar,53.6039,91.3903,247.09,84,14,0.0,RU
131,mildura,-34.2,142.15,297.63,30,94,2.82,AU
132,manggar,-2.8833,108.2667,302.58,67,100,0.75,ID
133,morondava,-20.2833,44.2833,298.38,77,84,3.04,MG
134,colac,-38.3333,143.5833,292.13,50,42,1.97,AU
135,west bay,19.3667,-81.4167,299.26,73,0,0.89,KY
136,yellowknife,62.456,-114.3525,237.9,66,17,3.58,CA
137,tiksi,71.6872,128.8694,246.54,94,100,4.43,RU
138,ugoofaaru,5.6667,73.0,300.08,77,100,4.22,MV
139,half moon bay,37.4636,-122.4286,284.9,88,75,0.0,US
140,agua branca,-5.8922,-42.6361,297.99,55,73,0.21,BR
141,ahar,38.4774,47.0699,268.31,95,62,0.7,IR
142,sao joao da barra,-21.6403,-41.0511,296.41,85,99,9.36,BR
143,cienfuegos,22.1461,-80.4356,292.86,84,0,3.12,CU
144,naze,28.3667,129.4833,289.01,62,85,7.68,JP
145,chokurdakh,70.6333,147.9167,232.4,100,43,1.04,RU
146,qaanaaq,77.484,-69.3632,271.27,74,100,5.8,GL
147,ribeira grande,38.5167,-28.7,288.02,84,100,0.89,PT
148,cidreira,-30.1811,-50.2056,294.73,92,100,2.74,BR
149,linjiang,41.8069,126.9078,268.09,51,7,4.43,CN
150,carnarvon,-24.8667,113.6333,296.82,62,20,7.67,AU
151,litovko,49.2361,135.1742,259.87,84,78,5.13,RU
152,georgetown,5.4112,100.3354,304.11,79,20,1.54,MY
